Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stem-scientist-book-day-costume,REPLACE: STEM Scientist Book Day Costume,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:little-kids, occasion:book-character, type:costume, merch:new",FALSE,Size,4,,,,,REPLACE-STEM-SCIENTI-4,300,shopify,0,deny,manual,34.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
stem-scientist-book-day-costume,,,,,,,,Size,5/6,,,,,REPLACE-STEM-SCIENTI-5-6,300,shopify,0,deny,manual,34.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
stem-scientist-book-day-costume,,,,,,,,Size,7/8,,,,,REPLACE-STEM-SCIENTI-7-8,300,shopify,0,deny,manual,34.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
astronaut-book-day-costume,REPLACE: Astronaut Book Day Costume,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:little-kids, age:big-kids, occasion:book-character, type:costume",FALSE,Size,5/6,,,,,REPLACE-ASTRONAUT-BO-5-6,300,shopify,0,deny,manual,36.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
astronaut-book-day-costume,,,,,,,,Size,7/8,,,,,REPLACE-ASTRONAUT-BO-7-8,300,shopify,0,deny,manual,36.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
astronaut-book-day-costume,,,,,,,,Size,10/12,,,,,REPLACE-ASTRONAUT-BO-10-12,300,shopify,0,deny,manual,36.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
soft-toddler-animal-jumpsuit,REPLACE: Soft Toddler Animal Jumpsuit,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:toddler, occasion:everyday, occasion:halloween, type:costume",FALSE,Size,2T,,,,,REPLACE-SOFT-TODDLER-2T,300,shopify,0,deny,manual,28.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
soft-toddler-animal-jumpsuit,,,,,,,,Size,3T,,,,,REPLACE-SOFT-TODDLER-3T,300,shopify,0,deny,manual,28.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
soft-toddler-animal-jumpsuit,,,,,,,,Size,4T,,,,,REPLACE-SOFT-TODDLER-4T,300,shopify,0,deny,manual,28.00,,TRUE,TRUE,,,,,,,,,,,,,,,g,,,
royal-dress-up-4-6x,REPLACE: Royal Dress-Up Costume 4–6X,<p>REPLACE with supplier-approved description. Do not paste competitor copy.</p>,REPLACE_SUPPLIER,,Costume,"age:little-kids, occasion:halloween, occasion:everyday, type:costume",FALSE,Size,4,,,,,REPLACE-ROYAL-DRESS--4,300,shopify,0,deny,manual,39.00,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,g,,,draft
